"","x"
"11","Buy this one! Everything should work this well.
            "
"12","This is a great product that arrived very timely and looks great!!
            "
"13","I was looking for a reasonably priced iPhone 8 and happened to stumble upon this phone. I was skeptical at first because it was the cheapest I could find anywhere online, however, I couldn¡¯t be happier with my purchase. The phone was advertised as a renewed phone that could vary on the degree of visual usage and battery health. Aside from one scratch on the back glass, the phone is flawless. The battery is also running at 100% capacity which was one of the most important categories for me when buying a new phone. I also checked the IMEI number and model number to find out more information. I was very happy to find that the phone was only 8 months old, and basically brand new with all original parts. This checked all the boxes and I couldn¡¯t be happier with my purchase. For any one that cares my order was fulfilled by CR Land, who has their orders fulfilled by amazon. You can feel safe knowing that if you have to return your item or have any issues you will be dealing with amazon directly. You will not be dealing with the store front who supplies the product which is a plus since amazons return process is relatively painless. I would definitely recommend this product to another person just make sure you watch the prices, they often change and you may miss out on a deal that is up to $40 less than what is usually offered.
            "
"14","Took hours to reach 20% charge; must be a defective while the front and back has no scratch the rounded corner has dents. The phone has been dropped, which most likely lead to the charging issue.In package only the phone is original, plug and cable are oem and no instruction. No lightening to earphone jack adaptor.Read some of the reviews and people had same issues; hope this return isn¡¯t going to someone else?
            "
"15","Exactly what I was hoping for. Great condition barely any scratches! Screen protector and case were included!!! What else could you ask for. I¡¯d buy from this seller again.
            "
"16","Pretty much like new. I was quite skeptical given its Amazon and one step removed from the Wild West but the device is just about like new. A strong battery, no scratches, everything functions well and it even came with a tempered glass screen protector. I¡¯m very impressed with the Renewed program.
            "
"17","Honestly the phone looked pretty much brand new.
            "
"18","Great quality!
            "
"19","The phone arrived a day before; looked brand new; and worked perfectly... For the first 2 days. In just 2 days the screen has went black and stopped working. The phone is still on as it had 80% charge and it is vibrating when I touch the home button, but the screen does not work. I am now turned off by the whole experience as the phone looked perfect and stopped working out of nowhere.
            "
"20","Todo excelente. Celular comprado en viaje para usarlo en chile, como nuevo, restaurado y funcionando todo perfecto a la fecha. Realmente como nuevo
            "
"21","Feels and looks like a brand new one.
            "
"22","I was worried, but the phone arrived in excellent scratch free condition. The battery life is fine after using for a few weeks. Does not come with a SIM card.
            "
"23","Not unlocked and also not new.  Dead battery on arrival so not even a certified refurbished.
            "
"24","The phone could text and call but could not connect to cellular data. Defective and not as described and now I don¡¯t have a phone for 5-6 days until I can get this replaced.
            "
"25","Couldn¡¯t tell it was refurbished.
            "
"26","Exelente condiciones,  muy buen telefono feliz <U+0001F600>
            "
"27","El equipo parece salido  de fabrica, lastimosamente no vino con el adaptador  para audifonos
            "
"28","I don¡¯t know battery life yet because I just received it but I am very impressed. It looks brand new and is great!
            "
"29","I¡¯m happy. Had a smal dent on a corner, nothing like what I expected though. Great phone, seems new, and clean
            "
"30","The phone shipped fast it didn¡¯t even turn on. Now I have to return the item and wait to get a refund.
            "
"31","It actually a very great phone!
            "
"32","The phone has been giving me issues lately
            "
"33","I like the color. I like the battery life.  I don't like the jiggly feeling when I push the home button. I don't like the time it takes to respond when I touch the home screen. My iPhone 6 responded  more quickly. I think that all the problems I am encountering are because I bought a refurbished one.  I wish I had bought a new iPhone 8 or better,
            "
"34","This phone was NEW!! And not ¡°like new¡±.Perfect finish, no scratches.Battery was at 100%..Totally amazed by the quality of the phone
            "
"35","Excellent condition. The only way I was able to tell it was used was that the batter health was at 96%.
            "
"36","Seems to be working fine and shipped fast.
            "
"37","I wasn¡¯t expecting that much. The cellphone I got looks brand new and works perfectly. I was afraid of not getting a good product but it satisfied my expectations so far
            "
"38","The phone was in mint condition, 100% battery life, and a glass screen protector came installed on it. Really have nothing bad to say. Item came better than expected
            "
"39","This iPhone 8 was like new.You literally can¡¯t tell if it has been used before.Just only had one tiny little starch on top but overall it¡¯s a perfect value for your money.Kanga Supply has top top quality renewed devices, definitely buying from them again!
            "
"40","Not good and not complete accessories.Bad thing. I can not return because I gift to my brother who just came to US for 3 days.
            "
"41","It's nice
            "
"42","Phone was delivered by fedex. Excellent condition . Had screen protector on it already. No scratches and just like new. Great deal and I¡¯m very happy with purchase. Took SIM card out of iPhone 5 and put right in the new iPhone 8 and all is working great. Everything as advertised.
            "
"43","very disappointed to see i that its defective. works totally find except that it restarts itself every one or two minutes and the batter says its dead even when its fully charged i guess this happens sometimes so ill try one more time with this seller
            "
"44","So far so good. Have had no issues with this product yet. Came packaged very well in a protective box and came with a charger.
            "
"45","I was trepidatious to make this purchase because there¡¯s no way to tell the quality of the phone before you get it, but I risked it and got the biscuit. The phone I recieved was absolutely perfect.
            "
"46","It was for my son & he loves it
            "
"47","Very pleased by the pristine condition and value of the purchase as a gift for my niece. Had Apple do a test and found all systems checked out, with the battery life at 100%. Thank you, a thumbs up and a shout out to the Seller!
            "
"48","Isn¡¯t unlocked for AT&T contrary to what was advertised
            "
"49","I purchased this phone for my son & he¡¯s in love with it! It didn¡¯t come with any damage or scratches & it was very easy to switch phones over from his Android to the iPhone 8.
            "
"50","I like my refurbished iPhone 8.  It looks new.  I am happy with my purchase.
            "
"51","Excelent product. Doesn¡¯t seem refurbish. Not external things to see. Works really fine. Battery life 100%. I am very happy with this product
            "
"52","This came looking perfect. No visible scratches or cracks at all and I¡¯m grateful
            "
"53","Buenas dias llego sin el cargador original y sin audifonos
            "
"54","Good phone
            "
"55","The phone literally cut off & on On me like 10 times also the call will drop and says called failed. It¡¯s nice and new but the phone system seems to have its own issues
            "
"56","It is absolutely available with Japanese Biglobe sim.However, a wifi channel channel of Aterm-04 cannot connect for some reason that I do not figure out.
            "
"57","no problems whatsoever.
            "
"58","Buen producto
            "
"59","Great no issues
            "
"60","Wrong ##$$% phone so disappointed  I wanted the 8plus I got the 8 .nice phone I must say
            "
"61","It¡¯s amazing
            "
"62","This phone was already registered to another user which made it impossible to set up.
            "
"63","Great refurbished phone.
            "
"64","The product was in perfect conditions, it actually looks new! I¡¯m so happy
            "
"65","Everything is fine with the phone itself but DO NOT BUY FROM THIS SELLER UNLESS YOU WANT A LOCKED PHONE!!!
            "
"66","i am very pleased !!! looks brand new , no scratches or tears. battery last all day <U+0001F970>
            "
"67","It¡¯s having technical issues. Touch screen and keypad seems to have a mind of its on.
            "
"68","The phone indeed functioned well, but the front camera came not working.
            "
"69","Fingerprint reader fails occasionally.
            "
"70","Funciona como deberia
            "
"71","So far so good. Phone looks great and performs great.
            "
"72","Never was a fan of apple but I am loving this phone
            "
"73","good performance
            "
"74","I got the nice deal
            "
"75","Very clean. It¡¯s like a new iPhone
            "
"76","Excelente estado
            "
"77","Great product
            "
"78","It came as described.
            "
"79","Excelente
            "
"80","The ipohne was incomplet no headphones in the box way
            "
"81","IPhone received without SIM Card holder and had to return it.  I was disappointed.
            "
"82","I bought this cell phone because I thought it was an iPhone 8 plus as it looked in the photos, if it is not an iPhone 8 plus why put a photo of an iPhone plus?
            "
"83","DO NOT BUY ABSOLUTE JUNK BATTERY SO SHOT IT WOULDNT EVEN TAKE A CHARGE
            "
"84","Was skeptical getting refurbished but works perfectly.
            "
"85","Defectuoso
            "
"86","The phone was as promised and was in like-new condition. Works great. Very satisfied.
            "
"87","Excellent phone.  Like new.  Didn¡¯t look used at all.  Came with glass screen protector installed, nice touch.
            "
"88","So far so good might edit later if something goes wrong but product is good out the box.
            "
"89","Purchased the red edition for my mom. It's a refurbished model but it looks really great. Very minimal hairline scratches on the corner of the screen but a protector will cover it up. Definitely worth the money
            "
"90","Will give it 5 Stars, but I bought it less than 6 months ago and the battery is already acting up. It¡¯s losing bars while the phone is turned off, like an old 5C which I used to have.
            "
"91","This renewed iPhone 8 works great.
            "
"92","Scratches and not as big a screen as I thought It would be. I may return and move up to a plus
            "
"93","I like the size and the capacity. It is so much faster than my old IPhone.
            "
"94","Really good. I am very happy with this iPhone8.
            "
"95","Very good for the price! Works perfectly!
            "
"96","Looks like a new phone. Very happy with everything about it.
            "
"97","Funciona perfecto
            "
"98","i really wish this was free but i love the nice color of the phone awesome phone
            "
"99","Just like new! I bought the phone refurbished. It only had two very small scuffs which the case covers. I¡¯m using it with xfinity mobile and it works just fine.
            "
"100","I was totally skeptical, but so far so good.  A little trouble getting it set up, but working well now. No scratches or visible damage of any kind.  I¡¯ll keep tabs on the battery life and update.
            "
"101","The screen was too dark even with brightness at 100% the screen didnt look the way is supposed to
            "
"102","These cannot possibly be certified refurbished as stated. Both phone batteries were so dead when I received them it took a day to charge. One phone has a camera that does not work.
            "
"103","I researched the iPhone 6,7, and 8 as replacements for my aging 5s. I also sought out sellers with good ratings for this purchase. I settled on MyWit based on their reviews and their volume of sales. The phone arrived a day early and it is absolutely pristine. If it is a refurb, there are zero signs of that as there are no marks anywhere on it. Not even finger prints or dust. It came with a nice flex lighting cable and Apple charger (no sim as advertised).I put the sim card from my old iPhone 5s in it and went through the setup questions. I had a fully functional iPhone 8  in 5 minutes tops.  I selected the iPhone 8 over the 6 or 7 due to the advanced technology in the 8. It is worth the extra $100 over the same size 7.  It is fast but the battery lasts all day without showing significant signs of needing a charge.I also purchased a Speck Candy Shell case for this phone. The iPhone 8 has a glass back for wireless charging and it is very smooth and slick to hold. With my dry fingers, it is difficult to even use the phone so a case is necessary to give it some grip. The Speck case is a perfect, anti-slip and lots of drop and screen protection. See this case here https://www.amazon.com/Speck-Products-CandyShell-Phone-iPhone/dp/B01K094IZ8Very pleased with the seller too and I would certainly use them for another phone purchase without question!
            "
"104","I just received the device and it came completely scratched up and had a crack in the screen located  near ear piece speaker.
            "
"105","well yes very good the IPhone I said before, but when I proved yesterday the Bluetooth connection, so it¡¯s doesn¡¯t work. Why?And the cuestion is what can I do??? More simple: return the product that doesn¡¯t work.
            "
"106","we buy an unlocked iphone and to open the screen it is asking for a code! very bad service
            "
"107","There were a few small blemishes on the back of the phone that were only noticeable if you look really close.  Otherwise no scratches, dent, or anything else customers mentioned on either of the two phones that I ordered.  It came with a real Apple charger not a knockoff and the phone itself worked perfectly.  I saved $200 over buying a new phone and am super happy.
            "
"108","2 month ago I have purchased above iphone 8 with 64gb. we received in good condition and it is totally dent and scratc. h free. so far working perfectly.
            "
"109","After two bad IPhone purchases on Ebay, both refunded, and no luck finding a decent IPhone 8 on Gazelle I was hesitant to order another pre-owned IPhone. However, this IPhone was as advertised. Mint condition, excellent battery life and yes, it was actually an unlocked  model 1863. Dropped in my MetroPCS sim card and was up and running immediately. Good purchase and would buy again.
            "
"110","It is almost perfect...It takes a while to fully charge, but the battery lasts all day long, esthetically flawless.. not a single scratch.
            "
"111","Buy this one! Everything should work this well.
            "
"112","This is a great product that arrived very timely and looks great!!
            "
"113","I was looking for a reasonably priced iPhone 8 and happened to stumble upon this phone. I was skeptical at first because it was the cheapest I could find anywhere online, however, I couldn¡¯t be happier with my purchase. The phone was advertised as a renewed phone that could vary on the degree of visual usage and battery health. Aside from one scratch on the back glass, the phone is flawless. The battery is also running at 100% capacity which was one of the most important categories for me when buying a new phone. I also checked the IMEI number and model number to find out more information. I was very happy to find that the phone was only 8 months old, and basically brand new with all original parts. This checked all the boxes and I couldn¡¯t be happier with my purchase. For any one that cares my order was fulfilled by CR Land, who has their orders fulfilled by amazon. You can feel safe knowing that if you have to return your item or have any issues you will be dealing with amazon directly. You will not be dealing with the store front who supplies the product which is a plus since amazons return process is relatively painless. I would definitely recommend this product to another person just make sure you watch the prices, they often change and you may miss out on a deal that is up to $40 less than what is usually offered.
            "
"114","Took hours to reach 20% charge; must be a defective while the front and back has no scratch the rounded corner has dents. The phone has been dropped, which most likely lead to the charging issue.In package only the phone is original, plug and cable are oem and no instruction. No lightening to earphone jack adaptor.Read some of the reviews and people had same issues; hope this return isn¡¯t going to someone else?
            "
"115","Exactly what I was hoping for. Great condition barely any scratches! Screen protector and case were included!!! What else could you ask for. I¡¯d buy from this seller again.
            "
"116","Pretty much like new. I was quite skeptical given its Amazon and one step removed from the Wild West but the device is just about like new. A strong battery, no scratches, everything functions well and it even came with a tempered glass screen protector. I¡¯m very impressed with the Renewed program.
            "
"117","Honestly the phone looked pretty much brand new.
            "
"118","Great quality!
            "
"119","The phone arrived a day before; looked brand new; and worked perfectly... For the first 2 days. In just 2 days the screen has went black and stopped working. The phone is still on as it had 80% charge and it is vibrating when I touch the home button, but the screen does not work. I am now turned off by the whole experience as the phone looked perfect and stopped working out of nowhere.
            "
"120","Todo excelente. Celular comprado en viaje para usarlo en chile, como nuevo, restaurado y funcionando todo perfecto a la fecha. Realmente como nuevo
            "
"121","Feels and looks like a brand new one.
            "
"122","I was worried, but the phone arrived in excellent scratch free condition. The battery life is fine after using for a few weeks. Does not come with a SIM card.
            "
"123","Not unlocked and also not new.  Dead battery on arrival so not even a certified refurbished.
            "
"124","The phone could text and call but could not connect to cellular data. Defective and not as described and now I don¡¯t have a phone for 5-6 days until I can get this replaced.
            "
"125","Couldn¡¯t tell it was refurbished.
            "
"126","Exelente condiciones,  muy buen telefono feliz <U+0001F600>
            "
"127","El equipo parece salido  de fabrica, lastimosamente no vino con el adaptador  para audifonos
            "
"128","I don¡¯t know battery life yet because I just received it but I am very impressed. It looks brand new and is great!
            "
"129","I¡¯m happy. Had a smal dent on a corner, nothing like what I expected though. Great phone, seems new, and clean
            "
"130","The phone shipped fast it didn¡¯t even turn on. Now I have to return the item and wait to get a refund.
            "
"131","It actually a very great phone!
            "
"132","The phone has been giving me issues lately
            "
"133","I like the color. I like the battery life.  I don't like the jiggly feeling when I push the home button. I don't like the time it takes to respond when I touch the home screen. My iPhone 6 responded  more quickly. I think that all the problems I am encountering are because I bought a refurbished one.  I wish I had bought a new iPhone 8 or better,
            "
"134","This phone was NEW!! And not ¡°like new¡±.Perfect finish, no scratches.Battery was at 100%..Totally amazed by the quality of the phone
            "
"135","Excellent condition. The only way I was able to tell it was used was that the batter health was at 96%.
            "
"136","Seems to be working fine and shipped fast.
            "
"137","I wasn¡¯t expecting that much. The cellphone I got looks brand new and works perfectly. I was afraid of not getting a good product but it satisfied my expectations so far
            "
"138","The phone was in mint condition, 100% battery life, and a glass screen protector came installed on it. Really have nothing bad to say. Item came better than expected
            "
"139","This iPhone 8 was like new.You literally can¡¯t tell if it has been used before.Just only had one tiny little starch on top but overall it¡¯s a perfect value for your money.Kanga Supply has top top quality renewed devices, definitely buying from them again!
            "
"140","Not good and not complete accessories.Bad thing. I can not return because I gift to my brother who just came to US for 3 days.
            "
"141","It's nice
            "
"142","Phone was delivered by fedex. Excellent condition . Had screen protector on it already. No scratches and just like new. Great deal and I¡¯m very happy with purchase. Took SIM card out of iPhone 5 and put right in the new iPhone 8 and all is working great. Everything as advertised.
            "
"143","very disappointed to see i that its defective. works totally find except that it restarts itself every one or two minutes and the batter says its dead even when its fully charged i guess this happens sometimes so ill try one more time with this seller
            "
"144","So far so good. Have had no issues with this product yet. Came packaged very well in a protective box and came with a charger.
            "
"145","I was trepidatious to make this purchase because there¡¯s no way to tell the quality of the phone before you get it, but I risked it and got the biscuit. The phone I recieved was absolutely perfect.
            "
"146","It was for my son & he loves it
            "
"147","Very pleased by the pristine condition and value of the purchase as a gift for my niece. Had Apple do a test and found all systems checked out, with the battery life at 100%. Thank you, a thumbs up and a shout out to the Seller!
            "
"148","Isn¡¯t unlocked for AT&T contrary to what was advertised
            "
"149","I purchased this phone for my son & he¡¯s in love with it! It didn¡¯t come with any damage or scratches & it was very easy to switch phones over from his Android to the iPhone 8.
            "
"150","I like my refurbished iPhone 8.  It looks new.  I am happy with my purchase.
            "
"151","Excelent product. Doesn¡¯t seem refurbish. Not external things to see. Works really fine. Battery life 100%. I am very happy with this product
            "
"152","This came looking perfect. No visible scratches or cracks at all and I¡¯m grateful
            "
"153","Buenas dias llego sin el cargador original y sin audifonos
            "
"154","Good phone
            "
"155","The phone literally cut off & on On me like 10 times also the call will drop and says called failed. It¡¯s nice and new but the phone system seems to have its own issues
            "
"156","It is absolutely available with Japanese Biglobe sim.However, a wifi channel channel of Aterm-04 cannot connect for some reason that I do not figure out.
            "
"157","no problems whatsoever.
            "
"158","Buen producto
            "
"159","Great no issues
            "
"160","Wrong ##$$% phone so disappointed  I wanted the 8plus I got the 8 .nice phone I must say
            "
"161","It¡¯s amazing
            "
"162","This phone was already registered to another user which made it impossible to set up.
            "
"163","Great refurbished phone.
            "
"164","The product was in perfect conditions, it actually looks new! I¡¯m so happy
            "
"165","Everything is fine with the phone itself but DO NOT BUY FROM THIS SELLER UNLESS YOU WANT A LOCKED PHONE!!!
            "
"166","i am very pleased !!! looks brand new , no scratches or tears. battery last all day <U+0001F970>
            "
"167","It¡¯s having technical issues. Touch screen and keypad seems to have a mind of its on.
            "
"168","The phone indeed functioned well, but the front camera came not working.
            "
"169","Fingerprint reader fails occasionally.
            "
"170","Funciona como deberia
            "
"171","So far so good. Phone looks great and performs great.
            "
"172","Never was a fan of apple but I am loving this phone
            "
"173","good performance
            "
"174","I got the nice deal
            "
"175","Very clean. It¡¯s like a new iPhone
            "
"176","Excelente estado
            "
"177","Great product
            "
"178","It came as described.
            "
"179","Excelente
            "
"180","The ipohne was incomplet no headphones in the box way
            "
"181","IPhone received without SIM Card holder and had to return it.  I was disappointed.
            "
"182","I bought this cell phone because I thought it was an iPhone 8 plus as it looked in the photos, if it is not an iPhone 8 plus why put a photo of an iPhone plus?
            "
"183","DO NOT BUY ABSOLUTE JUNK BATTERY SO SHOT IT WOULDNT EVEN TAKE A CHARGE
            "
"184","Was skeptical getting refurbished but works perfectly.
            "
"185","Defectuoso
            "
"186","The phone was as promised and was in like-new condition. Works great. Very satisfied.
            "
"187","Excellent phone.  Like new.  Didn¡¯t look used at all.  Came with glass screen protector installed, nice touch.
            "
"188","So far so good might edit later if something goes wrong but product is good out the box.
            "
"189","Purchased the red edition for my mom. It's a refurbished model but it looks really great. Very minimal hairline scratches on the corner of the screen but a protector will cover it up. Definitely worth the money
            "
"190","Will give it 5 Stars, but I bought it less than 6 months ago and the battery is already acting up. It¡¯s losing bars while the phone is turned off, like an old 5C which I used to have.
            "
"191","This renewed iPhone 8 works great.
            "
"192","Scratches and not as big a screen as I thought It would be. I may return and move up to a plus
            "
"193","I like the size and the capacity. It is so much faster than my old IPhone.
            "
"194","Really good. I am very happy with this iPhone8.
            "
"195","Very good for the price! Works perfectly!
            "
"196","Looks like a new phone. Very happy with everything about it.
            "
"197","Funciona perfecto
            "
"198","i really wish this was free but i love the nice color of the phone awesome phone
            "
"199","Just like new! I bought the phone refurbished. It only had two very small scuffs which the case covers. I¡¯m using it with xfinity mobile and it works just fine.
            "
"200","I was totally skeptical, but so far so good.  A little trouble getting it set up, but working well now. No scratches or visible damage of any kind.  I¡¯ll keep tabs on the battery life and update.
            "
